Company,Exchange,Ticker,U.S.-listed,gvkey,Short-seller ,Sample year,URL,Announce date,End date,Allegations,Summary,Companyfate,Oneweekret,CampaignRet,CampaignRetVsSP500,CompanyTactics,Marketcap,Duplicate copy of Shortseller (added just to make reading easy),Main activist document(s) of interest,(Part 2 for Column N),Chinese company,Notes,Synopsis Excerpt,summary from original source,Focus,Keywords Combined TOTAL
"21Vianet Group, Inc.",Nasdaq, VNET (ADR),0,GV_186876,Trinity Research Group,2014,http://www.activistshorts.com/companies/351/campaigns/472,9/10/2014,9/17/2015,Accounting fraud; Other illegal ,"Trinity Research Group said 21Vianet Group was ""falsifying financials and reported operating metrics,"" and in violation of basic debt covenants, among other charges.",Alive,-4.00%,-19%,-20.70%,Private placement; Receive unsolicited bid; Strategic review; CFO resigns or is replaced; Conference call ,"1,452",Trinity Research Group,http://seekingalpha.com/article/2484305-21vianet-group-exposed,,1,,,,,rejected - Chinese company
"21Vianet Group, Inc.",Nasdaq, VNET (ADR),0,GV_186876,GeoInvesting,2014,http://www.activistshorts.com/companies/351/campaigns/479,9/18/2014,7/22/2015,Other overvaluation,"GeoInvesting said that a $175 million debt financing deal overseas for 21Vianet Group Inc. had been suspended due to recent allegations of fraud, and the lack of financing would hurt the company's cash flow.",Alive,-13.30%,-3%,-9.90%,Private placement; Receive unsolicited bid; CFO resigns or is replaced ,"1,394",GeoInvesting,http://seekingalpha.com/article/2484305-21vianet-group-exposed,,1,,,,,rejected - Chinese company
"22nd Century Group, Inc.",NYSE MKT, XXII,1,GV_017185,GeoInvesting,2014,http://www.activistshorts.com/companies/337/campaigns/457,8/27/2014,8/28/2015,Product ineffective; Stock promotion ,"GeoInvesting said 22nd Century Group was engaging in stock promotion for a parade of products that never successfully monetized and predicted more ""massive"" dilution to pay for ""exorbitant"" insider salaries. The company called the report ""misleading and inaccurate.""",Alive,-9.50%,-78%,-79.10%,Private placement; CEO resigns or is replaced,189,GeoInvesting,http://seekingalpha.com/article/2454105-22nd-century-group-a-lot-of-smoke-not-enough-fire?isDirectRoadblock=true&uprof=82,,0,,"On 8-27-2014, GeoInvesting said 22nd Century Group, Inc. was engaging in promotion and ""massive"" dilution of its stock. GeoInvesting also said the company's history had been ""riddled with false promise and failed product launches,"" which it said had sent 22nd Century Group's stock price climbing on news that never panned out. GeoInvesting also said the company's CEO had previously been charged for stock manipulation. Additionally, it said that ongoing dilution to help insiders pay themselves ""exorbitant amounts of money"" would add to the company's accumulated $47 million deficit.","Insiders are paying themselves exorbitant amounts of money from the shareholders' pockets, despite the fact that the company has run up an accumulated deficit of roughly $47.21 million;
Dilution has caused the company's share count to nearly quadruple, and we see no signs that the dilution will not continue to be a staple of management's strategy;
We believe the company has ties to stock manipulation and promotion;
The company has a small dissipating pile of cash;
Based on the company's unsuccessful attempts to meaningfully monetize a product, we have little confidence that it can do so in the future;
The company has a history of abandoning projects;
The company has repackaged a business plan that has failed in the past;
A large tobacco company spent $25M on advertising for Quest-branded modified nicotine cigarettes, before giving up on the product;
The company has admitted it's suspending funding its X-22 FDA clinical trials, necessary to move further in monetizing the product;
The company's paltry revenue from this past quarter came from $16k in filtered cigars;
The CEO has a history of stock manipulation - the SEC charged CEO Pandolfino with manipulating the prices of two stocks by mailing anonymous letters with false information;
The company has known associates that are tied to stock promotion;
The bulls' argument of XXII's own brand of standard cigarettes, which are supposedly set for national distribution at some point in the future, have been trumpeted by the company since 2011, with no sales and no advertising spending to-date;
The company has issued press releases dating back to 2011 touting potential ""big things"" which still haven't panned out or that it's stopped talking about without major explanation.",Management,Stock Promotion;Product ineffective;Unsavory management;managerial self-dealing;stock manipulation;lackluster product and sales;cash shortage;capital structure
"22nd Century Group, Inc. ",NYSE MKT,XXII,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/337/campaigns/1002,10/5/2016,,Stock promotion,"The Street Sweeper said that 22nd Century Group had been the subject of paid promotional campaigns, and it said that it was unlikely the company would receive approval for its modified risk tobacco product labeling application.",Alive,-16.90%,-34.40%,-36.60%,Private placement,126,,http://www.thestreetsweeper.org/undersurveillance/22nd_Century_Group__XXII___This_Smoking_Stock_May_Be_Bad_For_Your_Health,,0,,"On 10-5-2016, The Street Sweeper said that 22nd Century Group had been the subject of paid promotional campaigns, and it said that it was unlikely that the company would receive approval for its modified risk tobacco product labeling application. The Street Sweeper added that the company faced a lawsuit blocking key market entrance in China, and it said that 22nd Century Group faced heavy cash burn, poor financials and failed study endpoint.","The market must have been smoking weed when it ran up the stock in 22nd Century Group (XXII) to the highest levels of the year.

The cigarette company - which shares space in a Clarence, N.Y. office with a private cigarette company and a dentist -  lost a stunning $11 million last year and $2.8 million just last quarter.

The company is researching genetically engineered cannabis but focuses on genetically modifying tobacco to produce high and low nicotine products.

The main products include high-nicotine and low-nicotine cigarettes called Red Sun and Magic, very low nicotine cigarette Brand A and very high nicotine cigarette Brand B, Spectrum cigarettes used in research and the X-22 smoking cessation aid.

Despite the stock rally, XXII has been swirling within a smoky venue of paid promotions - a lawsuit blocking key market entrance - heavy cash burn - poor financials - looming warrants - failed study endpoint - likely inability to get modified risk tobacco product (MRTP) labeling - and expected inability to nab a partner for phase 3 testing.",Product ,stock promotion;product ineffective;FDA approval unlikely
"2U, Inc.",Nasdaq, TWOU,1,GV_019881,Citron Research,2015,http://www.activistshorts.com/companies/546/campaigns/749,10/12/2015,,Product ineffective,"Citron said that 2U was actually a for-profit, outsourced online degree company with dozens of competitors, unattractive contract economics, and a business model that would not scale.",Alive,-17.60%,-6%,-7.30%,n/a,"1,298",Citron Research,http://www.citronresearch.com/wp-content/uploads/2015/10/twou-final-a.pdf,,0,,"On 10-12-2015, Citron Research said 2U, Inc. was erroneously misunderstood as a SaaS company but was actually just an outsourced provider of online graduate degrees that leveraged university brand names. Citron noted that even when benchmarked against true SaaS companies, 2U was overvalued, and Citron said that the reason 2U's stock had irrationally doubled was due to an economically inconsequential and highly controversial Yale deal that was denied accreditation on its first try. Citron added that 2U's market was tiny with dozens of competitors, and Citron said that the company's contract economics were unattractive and its addressable market was limited. Citron also said that the company's business model required substantial up-front capital investment for each client and the full assumption of risk associated with enrollments, and Citron said it generated about 85% of revenues from only four clients.","In reality, it is a for-profit outsourced online degree provider founded almost eight years ago, yet still generates ~85% of revenues from only 4 clients.  ·        Stock irrationally doubled due to economically inconsequential and highly controversial Yale deal that was denied accreditation on first try ·        2U’s addressable market is tiny, there are dozens of competitors, and its contract economics are unattractive ·        Insider selling and recent capital raise suggest that management thinks stock is overvalued and likely to keep burning cash for next several years ·        Current valuation insane even when benched against actual SaaS companies … ~67%+ downside from current levels. ",Product,business model pressure;Product ineffective;Growth overstated;Industry saturation;insider selling
"2U, Inc. ",Nasdaq,TWOU,1,,Lakewood Capital,2016,https://www.activistshorts.com/companies/546/campaigns/1034,10/28/2016,,Competitive pressures,Lakewood said that investors were overlooking the questionable economic value creation potential of 2U's business model and an increasingly competitive market.,Alive,-4.90%,1.20%,-2.60%,n/a,1615,,http://www.citronresearch.com/wp-content/uploads/2015/10/twou-final-a.pdf,,0,,"On 10-28-2016, ValueWalk reported that in a letter to investors, Lakewood Capital discussed a short position in 2U. Lakewood said that investors were overlooking the business model's questionable economic value creation potential and an increasingly competitive market. It said that that replicating the results of 2U's first four programs would prove to be extremely difficult, and Lakewood said that many of the company's programs launched over the prior several years were likely tracking below 2U's targeted levels. Lakewood also said that 2U's 60% revenue share was at risk on new and renewal contracts and that the increasing number of competing programs would likely make attracting and retaining students for 2U programs significantly more costly.","Lakewood Capital – 2U, Inc. (Short)     We are short 2U, Inc., a provider of online education programs, as we believe investors are overlooking the business model’s questionable economic value creation potential and an increasingly competitive market. The company’s stock price has nearly tripled from its March 2014 IPO price of $13 per share due to a belief that 2U’s addressable market offers a boundless growth opportunity that will enable the company to replicate the success of some lucrative early programs. This optimism is underscored by 2U’s current market capitalization of $1.7 billion despite the company generating negative free cash flow every year since inception and forecasts calling for just $2 million of adjusted EBITDA in 2016.     2U partners with universities to create the online equivalent of their on-campus graduate programs. The company provides the technology platform for the courses and funds the startup costs and most of the operating costs associated with creating and running the programs including student recruitment. In return for these services, 2U receives approximately 60% of the tuition fees paid by students. 2U was founded in 2008 and launched its first four programs (the “Core Four”) between 2009 and 2011, focusing on four verticals (social work, nursing, business and education) and partnering with three top-tier institutions (University of Southern California, Georgetown and University of North Carolina). While these programs were successful, we believe that replicating the results of the Core Four will prove to be extremely difficult. Because 2U selected verticals with broad appeal and high tuition rates when online education was in its infancy, these programs were well-positioned to succeed. Most program verticals are not able to attract large enough class sizes or command the same high tuition levels. While 2U’s most successful programs have been in the social work, nursing and business verticals, exclusivity terms with existing customers limit the number of programs 2U can launch in any one vertical. As a result, some of the company’s more recent programs are in new niches such as speech pathology and health informatics, which we believe will struggle to reach the enrollment levels necessary to achieve the target program economics. While it is still early in their development, we suspect that many of the programs launched over the past several years are tracking below the company’s targeted levels.     Not surprisingly, as the excitement around online education has grown, competition has also increased. Numerous universities and colleges currently operate their own online degree programs and a host of companies offer competing online platforms to 2U. In fact, several 2U customers have launched online degree programs that do not use 2U, including University of Southern California for its online Masters of Engineering and MBA programs, Georgetown for its Masters in Finance program and George Washington University for its online MBA program. As a result of this increased competition, we believe 2U’s 60% revenue share is at risk on new and renewal contracts. Furthermore, the increasing number of competing programs will likely make attracting and retaining students for 2U programs significantly more costly, further pressuring the company’s economics.     Finally, we believe the company is facing a meaningful headwind next year that many investors and analysts are overlooking. In November 2015, 2U extended its contract with University of Southern California for its Master of Social Work program, which is one of 2U’s most successful programs (we estimate it accounted for more than 20% of 2015 revenues). In return for the extension as well as the loosening of restrictions on 2U’s ability to partner with competing social work programs, 2U’s share of tuition revenue will decline in three annual increments starting in 2017. In addition, 2U agreed to make two cash payments in 2017 and 2018 and agreed to additional contingent payments if revenues fall below a certain threshold. While the absolute amounts are redacted in the contract, given the program’s significant contribution to total revenues, we think this renewal could prove to be a meaningful headwind in the coming years and is indicative of the company’s tenuous position.     By applying a discounted cash flow analysis to each of 2U’s existing programs and potential new program launches, we calculate a total value of $22 per share including cash and NOLs, roughly 40% below the current share price. As competition likely erodes program economics beyond what we modeled over time, we believe the downside in the company’s share price could be even greater.          ",Strategy,Competitive pressures;growth unsustainable
3D Systems Corporation,NYSE, DDD,1,GV_014898,Citron Research,2013,http://www.activistshorts.com/companies/218/campaigns/297,2/15/2013,2/22/2013,Bubble; Misleading accounting ; Stock promotion; Ineffective roll-up; Product ineffective ,"Citron said DDD was a bubble, and it said the company's product was inferior to competitors' anyway. Citron said the company was a roll-up that exaggerated organic growth. Citron also said the stock had benefited from stock promotion.",Alive,-16.30%,-32%,-72.20%,Public equity offering; CFO resigns or is replaced; Insider buy ,"3,742",Citron Research,http://www.citronresearch.com/wp-content/uploads/2013/02/DDD-final1.pdf,,0,,"On 2-14-2013, Citron Research said 3D Systems stock was a bubble. Citron said additive manufacturing had been around for 30 years and that the frenzy over consumer-priced 3D printers was unwarranted. Citron also said 3D Systems' Cubify printer was inferior to Makerbot, Printrbot and Solidoodle. Citron called 3D Systems a roll-up of low-value companies, and it said the company's accounting exaggerated organic growth. Additionally, Citron also said the company's stock price was inflated in part because of outside promotion.",Promotional management; Promotional media ; Roll-ups of Low-Value Companies,Product,Bubble industry;product ineffective;accounting misrepresentation;stock promotion;Too many acquisitions
3D Systems Corporation,NYSE, DDD,1,GV_014898,Dialectic Capital,2013,http://www.activistshorts.com/companies/218/campaigns/443,11/20/2013,4/10/2015,Bubble,Dialectic Capital said that the 3D printing industry was 20 years old and the recent growth did not reflect a decrease in the cost of printers or an increase in sales.,Alive,-0.90%,-61%,-81.40%,Public equity offering; CFO resigns or is replaced; Insider buy ,"7,761",Dialectic Capital,http://www.valuewalk.com/2014/01/could-2014-be-short-sellers-turn-dialectic-capital-thinks-so/,,0,,"On 11-20-2013, John Fichthorn of Dialectic Capital said in an appearance on CNBC that the whole 3D printing industry was overvalued, particularly considering the companies did not generate any free cash flow. Stressing that the 3D printing industry had been around for twenty years, Fichthorn said the industry ""captures imaginations"" but had about run its course. On 1-10-2014, ValueWalk reported that Dialectic's latest investor letter called out 3D Systems, noting lowered fourth quarter guidance and stagnated organic growth rates.","In particular it notes market leader 3D Systems Corporation (NYSE:DDD), which lowered guidance during the 4th quarter, and where margins have failed to expand and organic growth rates have stagnated.

Looking into the history of the 3D Printing market, Dialectic looks to the past to guide the future: “This bubble has happened before. It may not pop tomorrow, but if we keep seeing disappointing quarters and an inability to generate profits these stocks will decline. If they trade back to their multiples of a few years ago where they belong, they will decline a lot.”

3D Printing isn’t the only bubble the fund sees.",Industry,business model pressure;bubble industry;Growth unsustainable;public hype
3D Systems Corporation,NYSE, DDD,1,GV_014898,Whitney Tilson,2013,http://www.activistshorts.com/companies/218/campaigns/298,12/3/2013,5/16/2015,Bubble,"Tilson said 3D printing was a bubble, and he said DDD was in a highly competitive market with no winner-take-all characteristics.",Alive,4.70%,-72%,-93.70%,Public equity offering; CFO resigns or is replaced; Insider buy ,"7,903",Whitney Tilson,http://seekingalpha.com/article/1998081-the-beginning-of-the-end-of-the-3d-printing-bubble,,0,,"On 12-3-2013, ValueWalk reported that Whitney Tilson of Kase Capital was short 3D Systems. Tilson said the company's CEO was overly promotional, and he complimented Citron's research.",3D printing bubble (nothing new here),Industry,bubble industry;Stock promotion;product ineffective;accounting misrepresentation;Too many acquisitions;public hype
500.com Limited,NYSE, WBAI (ADR),0,GV_019042,Muddy Waters,2014,http://www.activistshorts.com/companies/350/campaigns/471,9/9/2014,11/6/2015,Other overvaluation,"Muddy Waters said the company had several red flags, including using employee bank accounts to transfer winnings, legal issues with its licenses and potential impending competition. The company denied that it had any issues.",Alive,-10.30%,-41%,-48.80%,Buyback/dividend; CEO resigns or is replaced ,"1,215",Muddy Waters,http://www.businessinsider.com/carson-block-mentions-500com-2014-9,,1,,,,,rejected - Chinese company
