Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
Federal Agricultural Mortgage Corporation (Farmer Mac),NYSE, AGM,2002,fy2002,1,GV_15153,Pershing Square,No Result,,(Invalid Identifier),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Agricultural Mortgage Corporation (Farmer Mac),NYSE, AGM,2002,fy2002,1,GV_15153,Whitney Tilson,No Result,,(Invalid Identifier),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Capital Corporation,NYSE, ALD,2002,fy2002,1,GV_116004,Greenlight Capital,Allied Capital Corporation,IQ469127,Asset Management and Custody Banks,-,11.186,309.928,228.291,0,0,1.572,11.186,0,0,40.354,309.928,0,40.354,51.63,0,0,0,-45.809,51.54,0,0,0,0,0,0,258.298,0,2488.167,-70.443,0,0,187.855,0,2794.319,41.366,65.332,45.771,229.221,0,204.25,0.93,0,140,228.291,0,0,0,0,390.021,0,0,654.2,228.291,0,0,0.23,0,0,-3,59.5,1241.248,228.061,0,7,228.061,59.5,0.011,2.23355,0,23.581,2.23355,-81.856,0,102.107,-81.856,1546.071,2.2,193.187,1553.071,2.2,0,2794.319,103.574,0,1.14987,0,1.13358,38427,37621,259.87,-220.641,108.69841,259.87,-55.035,108.72516,10.297,(Invalid Formula Name),258.298,14.22349,0,1546.071,0,69.1,14.22349,117.40938,0,998.45,0,-22.356,344.25,0.4057,90.87738,654.2,96.649,134.90425,987.264,0,28.104,2551.521,0,259.87,105,0
MBIA Inc.,NYSE, MBI,2002,fy2002,1,GV_013561,Pershing Square,MBIA Inc.,IQ286548,Property and Casualty Insurance,NYSE:MBI,83.218,1456.651,584.85,687.238,177.051,14.047,770.456,177.051,0,0,1279.6,23.853,91.767,17.259,-7.066,0,0,0,1834.712,0,0,214.576,0,0,128.441,1160.576,179.459,15739.938,-371.97,0,392.263,788.606,0,18852.101,0,882.236,0,788.606,-15.401,0,204.054,0.206,0,584.552,0,0,8.029,0,2772.694,-7.731,0,8803.193,584.85,-1903.485,0,0,-1918.68,0,0,0,13358.75,584.85,291.3,0,584.552,291.3,152.555,3.9885,-63.686,3895.112,3.98646,-123.715,-321.58,146.6342,-187.401,5493.351,3.96202,19.096,5493.351,3.96,-208.945,18852.101,147.57408,0,3.36128,0,3.33987,38670,37621,1174.623,-97.154,144.77382,1174.623,989.938,144.21011,-46.506,(Invalid Formula Name),1160.576,37.94437,0,5403.31,0,402.743,37.32242,492.87875,211.001,8803.193,0,103.899,0,25.8752,245.64275,8803.193,16.6117,478.124,8719.975,0,298.135,14296.544,203.923,1159.222,694,0.131
MBIA Inc.,NYSE, MBI,2002,fy2002,1,GV_013561,Greenlight Capital,MBIA Inc.,IQ286548,Property and Casualty Insurance,NYSE:MBI,83.218,1456.651,584.85,687.238,177.051,14.047,770.456,177.051,0,0,1279.6,23.853,91.767,17.259,-7.066,0,0,0,1834.712,0,0,214.576,0,0,128.441,1160.576,179.459,15739.938,-371.97,0,392.263,788.606,0,18852.101,0,882.236,0,788.606,-15.401,0,204.054,0.206,0,584.552,0,0,8.029,0,2772.694,-7.731,0,8803.193,584.85,-1903.485,0,0,-1918.68,0,0,0,13358.75,584.85,291.3,0,584.552,291.3,152.555,3.9885,-63.686,3895.112,3.98646,-123.715,-321.58,146.6342,-187.401,5493.351,3.96202,19.096,5493.351,3.96,-208.945,18852.101,147.57408,0,3.36128,0,3.33987,38670,37621,1174.623,-97.154,144.77382,1174.623,989.938,144.21011,-46.506,(Invalid Formula Name),1160.576,37.94437,0,5403.31,0,402.743,37.32242,492.87875,211.001,8803.193,0,103.899,0,25.8752,245.64275,8803.193,16.6117,478.124,8719.975,0,298.135,14296.544,203.923,1159.222,694,0.131
MBIA Inc.,NYSE, MBI,2002,fy2002,1,GV_013561,Whitney Tilson,MBIA Inc.,IQ286548,Property and Casualty Insurance,NYSE:MBI,83.218,1456.651,584.85,687.238,177.051,14.047,770.456,177.051,0,0,1279.6,23.853,91.767,17.259,-7.066,0,0,0,1834.712,0,0,214.576,0,0,128.441,1160.576,179.459,15739.938,-371.97,0,392.263,788.606,0,18852.101,0,882.236,0,788.606,-15.401,0,204.054,0.206,0,584.552,0,0,8.029,0,2772.694,-7.731,0,8803.193,584.85,-1903.485,0,0,-1918.68,0,0,0,13358.75,584.85,291.3,0,584.552,291.3,152.555,3.9885,-63.686,3895.112,3.98646,-123.715,-321.58,146.6342,-187.401,5493.351,3.96202,19.096,5493.351,3.96,-208.945,18852.101,147.57408,0,3.36128,0,3.33987,38670,37621,1174.623,-97.154,144.77382,1174.623,989.938,144.21011,-46.506,(Invalid Formula Name),1160.576,37.94437,0,5403.31,0,402.743,37.32242,492.87875,211.001,8803.193,0,103.899,0,25.8752,245.64275,8803.193,16.6117,478.124,8719.975,0,298.135,14296.544,203.923,1159.222,694,0.131
"Ambac Financial Group, Inc.",NYSE, ABK,2007,fy2007,1,GV_024287,Pershing Square,"Ambac Financial Group, Inc.",IQ317460,Property and Casualty Insurance,NasdaqGS:AMBC,123.933,-4214.926,-3248.157,879.067,798.181,2.695,1003,798.181,0,0,-5013.107,37.339,11.068,13.941,0,0,0,-1.238,2864.954,0,0,0,0,0,0,-5064.387,-87.214,17141.763,-90.362,47.906,255.639,-5154.749,-2202.806,23721.736,0,943.403,32.435,-5154.749,0,235.524,-1898.759,0,0,-3255.99,0,0,0,0,3603.088,0,0,1669.945,-3248.157,-1182.528,0,0,-1416.206,0,0,100,21441.843,-3248.157,673.991,0,-3248.157,773.991,1.092,-31.55722,0,2107.773,-31.55722,0,-646.786,102.92912,0,2279.893,-31.56,27.294,2279.893,-31.56,-449.392,23721.736,102.92912,0,-31.22425,0,-31.22425,40277,39447,-5061.692,-79.566,101.55002,-5061.692,564.868,286.81891,92.065,(Invalid Formula Name),-5064.387,22.45094,-5051.802,2279.893,9.89,491.396,22.45094,-3213.88513,208.119,1905.469,0,773.991,235.524,NM,-3638.24513,1669.945,NM,-3581.76888,1781.536,0,456.561,4185.362,304.801,-5061.692,367,-2203.56
Moody's Corporation,NYSE, MCO,2007,fy2007,1,GV_139665,Kynikos Associates,Moody's Corporation,IQ528325,Financial Exchanges and Data,NYSE:MCO,426.3,2259,701.5,14.7,584,41.2,441,584,7,443.6,1675,90.2,443.6,451.1,0,0,0,36.7,989.1,42.9,0,335.5,0,53.9,214.6,1181,79.2,0,-20.3,91.9,236.8,1172,0,1714.6,-50,988.2,8.1,1122,-181.8,551.9,415.2,0,0,706.8,-4.4,0,0,0,1349.2,0,0,600,701.5,61.5,0,0,-124.7,0,-50,7684.1,2498.2,701.5,300,0,701.5,7984.1,3.4,2.63326,-7136.7,2661.1,2.63326,-2,-3851.6,266.4,-7138.7,-783.6,2.58,65.9,-783.6,2.58,-1738.4,1714.6,272.2,0,2.72973,0,2.67157,40238,39447,1222.2,-85.2,251.40685,1224.4,-865.7,247.8,18.2,(Invalid Formula Name),1181,-3.11686,1288,-1020.4,65.8,32.5,-4.05876,727.2,408.7,1151.9,0,845.4,551.9,37.0053,732.275,600,12.1454,757.025,710.9,0,-67.6,368.3,491.6,1040.4,3572,-76.4
"Amedisys, Inc.",Nasdaq, AMED,2008,fy2008,1,GV_030612,Citron Research,"Amedisys, Inc.",IQ347535,Health Care Services,NasdaqGS:AMED,2.847,1163.417,86.682,0,562.633,20.406,2.847,562.633,0,175.698,600.784,18.756,176.498,423.277,0,0,0,-60.478,194.35,20.406,0,118.5,0,-11.124,79.258,157.101,0,4.7,-15.6,0,776.269,142.029,0,1070.194,-0.673,150.741,18.652,141.356,-28.385,0,54.743,0.032,42.632,86.613,-471.319,0,0,0,204.627,0,-4.73,285.942,86.682,0,0,0,-505.651,0.783,0,4.548,508.076,86.682,484.2,0,86.682,488.748,0.027,3.27782,0,236.252,3.27782,-188.62,-0.617,26.445,-188.62,561.335,3.22,6.654,562.118,3.22,0,1070.194,26.903,0,3.35932,0,3.30213,40596,39813,177.507,0,27.08323,178.397,301.567,27.24774,-53.343,(Invalid Formula Name),157.101,20.72629,205.807,-214.934,28.3,12.95,-7.93605,88.83713,20.138,328.574,0,300.128,42.632,38.727,83.58425,285.942,0,92.36313,325.727,0,11.872,890.692,25.3,149.122,14800,29.4
Federal National Mortgage Association (Fannie Mae),NYSE, FNM,2008,fy2008,1,GV_004601,Pershing Square,FNMA REMIC Trust 1998-W7,IQ30094153,Asset Management and Custody Banks,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Home Loan Mortgage Corporation (Freddie Mac),NYSE, FRE,2008,fy2008,1,GV_015208,Pershing Square,Freddie Mac,IQ271199,Thrifts and Mortgage Finance,OTCPK:FMCC,55476,-37785,-50119,0,0,0,246792,0,0,91344,-37785,0,97681,1505,0,0,0,-554,361673,0,0,0,0,-786,0,-41736,0,452164,0,-1185,0,-44070,0,850963,-494,-10159,0,-44564,0,331979,5552,0,105412,-50116,0,0,0,0,443895,0,0,408254,-50119,-32990,0,676,-71420,97,0,0,881597,-50795,1435678,28909,-50795,1435678,0,-34.60004,0,-23191,-34.60004,-1330069,-4111,1468.062,-1330069,-59640,-34.60004,0,-30634,-34.60004,0,850963,1468.062,13800,-18.76402,0,-18.76402,40598,39813,NA,-998,647.26029,0,118331,3207.98059,36752,(Invalid Formula Name),NA,-18.59413,NA,-59640,67,35664,-18.59413,-27546.75,1230,845645,0,105609,437391,NM,0,408254,NM,0,598853,26532,0,815011,45,0,4927,5507
Lehman Brothers Holdings Inc.,NYSE, LEH,2008,fy2008,1,GV_030128,Greenlight Capital,"Lehman Brothers Holdings, Inc.",IQ473285,Investment Banking and Brokerage,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,(Invalid Formula Name),NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehman Brothers Holdings Inc.,NYSE, LEH,2008,fy2008,1,GV_030128,Whitney Tilson,"Lehman Brothers Holdings, Inc.",IQ473285,Investment Banking and Brokerage,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,(Invalid Formula Name),NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Oriental Bioengineering, Inc.",OTC/Pink, AOBI,2009,fy2009,0,GV_120656,Asensio,"American Oriental Bioengineering, Inc.",IQ3102789,Personal Products,OTCPK:AOBI,91.12649,296.15078,41.42115,0,129.36778,12.43909,91.12649,129.36778,0,57.50445,166.78301,2.79877,57.50445,94.06193,0,10.01571,7.92236,-20.1119,177.91731,6.03863,-7.08936,145.86138,0,-4.79074,124.44365,58.7601,0,57.24153,-5.74638,3.27323,205.46387,54.51919,0,576.48177,0,27.56772,10.88972,54.51919,-11.88854,10.38437,13.21699,0.09376,0.06011,41.30221,0,0,0,0,46.97404,0,-1.11926,115.74396,41.42115,-0.2388,0,0,-6.75573,0.53314,0,0,181.42603,41.42115,10.68295,0.001,41.42115,10.68295,0.07832,556.26486,0,191.17375,556.26486,-9.59859,0,0.07446,-9.59859,394.5216,530.6263,0,395.05574,530.6263,0,576.48177,0.08911,0,459.20039,0,383.73029,41281,40178,71.19918,0,0.07817,73.27432,1.80699,0.07817,23.06572,(Invalid Formula Name),58.7601,5047.29232,74.43849,189.05773,3.2393,6.2365,2418.70061,34.19344,11.40168,126.18843,0,1.08435,10.44448,24.2428,12.25141,115.74396,0,14.9146,35.06195,6.56639,24.04051,521.24417,14.23425,59.31064,4373,-1.01727
"Apollo Group, Inc.",Nasdaq, APOL,2009,fy2009,1,GV_031122,Citron Research,"Apollo Group, Inc.",IQ61405368,Construction and Engineering,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cbeyond, Inc",Nasdaq, CBEY,2009,fy2009,1,GV_163987,Citron Research,"Cbeyond, Inc.",IQ120477,Integrated Telecommunication Services,-,39.267,413.771,-2.22,0,135.858,51.84,39.267,135.858,0,27.6,277.913,15.954,27.6,228.506,0,2.676,0,-10.268,79.573,51.84,1.351,351.991,0,1.325,135.403,-2.433,0,0,-0.124,0,1.491,-2.557,0,228.891,-1.737,62.61,12.121,-4.294,-60.65,0,-2.074,0,0,-2.22,0,0,0,0,59.772,0,0,0,-2.22,0,0,0,-60.729,0,0,0,70.286,-2.22,0,0,-2.22,0,0.29,-0.07721,0,-125.022,-0.07721,0,0,28.753,0,158.605,-0.08,1.237,158.605,-0.08,-0.816,228.891,28.753,0,-0.05558,0,-0.05558,40975,40178,49.407,0,28.973,49.407,0.411,30.18645,2.292,(Invalid Formula Name),-2.433,5.47423,57.436,157.114,8.029,0.131,5.42277,-1.59813,1.45,0,0,0,0,NM,8.16038,0,0,8.25538,-39.267,0.152,-0.172,158.605,0.657,-11.243,1677,-2.731
