 Marketcap ,Unlevered.Free.Cash.Flow
"1,591",-283.89988
817,0
"131,796",0
"2,362",-10901.13763
571,-154.2695
"7,610",0
"9,618",3264.2625
276,237.795
743,-253.78263
774,496.64488
"9,460",-2458.115
"8,637",-7333.25725
"10,363",-59747.875
"2,460",932.6065
"1,763",580.75113
429,-554.21413
623,-993.96325
"1,651",215.71749
"1,842",1344.07213
903,0
975,0
"1,428",0
"1,201",-491.3035
"2,051",-199.95025
"1,554",1904.80738
722,-43.1015
894,-43.1015
"2,423",-684.214
120,0
"9,606",-3581.76888
"1,916",-860.625
"3,733",-119.875
"3,644",-119.875
"1,674",30.99125
535,-32.90025
492,-29.45125
140,16.27988
278,-9.22472
"2,040",-16.91388
"1,284",8.35625
513,-36.11575
69,-76.15363
"2,859",164.12213
"4,310",9.1985
"2,699",9.1985
423,0
309,0
"2,675",134.90425
"1,717",-75.50613
"1,450",-30.60775
410,5.27625
"3,971",34.62413
299,-146.31463
"12,843",582.20675
"1,771",92.36313
"117,673",7592.125
140,-5.47984
222,-12.11265
276,-19.715
372,-44.476
"1,260",35.596
"29,547",1749.14963
180,15.66525
"5,671",-29.318
"4,088",165.7575
478,-10.60819
472,-10.60819
"1,408",16.17938
"1,612",16.17938
160,-16.09188
146,-0.87638
124,-0.87638
489,14.9146
151,-3.44665
"13,803",0
201,-0.3225
104,0
112,-12.3785
"2,287",211.92075
"1,351",-38.69863
758,11.26513
373,-13.0285
"24,872",-5162.4875
"4,799",48.246
546,-1.65063
785,109.23575
600,20.37475
580,-31.96275
804,-35.17372
"1,221",-9.55488
810,-20.59413
"1,024",-20.59413
"162,931",41701.75
"214,511",41701.75
"20,947",6387.125
"10,363",-59747.875
205,-10.80233
414,-17.32775
976,21.12838
717,10.97563
899,74.66013
"3,024",181.08988
"31,239",7364.357
"99,033",3048.3125
61,-5.0845
852,262.4925
339,2.89725
879,25.53363
"104,036",3434.875
685,-0.10875
"1,051",0
"1,128",0
"1,433",0
"1,187",0
"1,900",0
"1,575",0
466,-313.11258
560,14.72175
717,2.08413
759,7.24263
730,7.24263
215,-9.48273
997,6.69613
135,-3.63738
"4,417",-54.6855
205,0
330,3.80175
150,32.73038
250,0
"57,100",6452.25
"1,427",88.36263
32,8.38449
49,-29.48616
254,34.12335
148,3.21774
148,3.21774
415,8.25538
"7,955",-94.41563
691,0
235,-10.94322
354,-10.94322
625,0
770,0
613,0
32,-3.36813
71,-8.09463
172,-8.09463
"70,369",1655.7
"92,500",2169.675
138,6.59964
"31,852",634.25
270,-18.35886
64,17.34825
51,0
329,22.67075
329,22.67075
334,22.67075
509,0
"1,266",123.4905
75,0
153,-48.21292
178,-46.81639
21,0
542,-9.69213
294,0
621,-4.42838
606,-4.42838
0,-15.88713
64,-2.96625
71,-4.30613
861,-14.04538
12,-0.85957
54,-7.21148
200,0
"2,642",184.13425
109,404.07563
81,0
72,0
169,1.13371
"10,016",240.1545
"10,631",294.94538
587,-253.14925
633,-238.67263
246,-15.0745
"7,670",-648.586
"2,986",-630.20638
160,-377.23338
"1,437",-126.471
"22,156",37.625
"2,783",223.375
105,0.27619
978,-112.921
151,-6.5221
201,-6.5221
745,21.48025
583,6.16513
232,0
"1,713",-26.783
"1,935",268.38
79,0
46,0
446,-9.8945
144,0
89,-3.24578
311,0
372,-232.99116
"3,640",394.6955
"1,333",0
"1,664",0
276,-41.15689
181,-13.39838
"3,742",32.25013
"7,761",32.25013
"7,903",32.25013
374,-37.90914
233,-37.90914
147,-37.90914
"28,633",4119
50,-1.91507
135,0
"3,101",1306.3875
"8,500",722.27075
831,26.87313
255,-5.61863
"1,782",42.68938
63,1.44221
380,-295.19788
292,0.422
356,0.422
"1,605",162.71388
"5,033",11.52875
238,12.73038
"1,169",54.46013
726,59.01863
963,22.32413
916,22.32413
"2,316",170.5
164,-0.9425
"2,904",241.02063
177,-11.38963
73,-1.02475
"1,833",124.17138
740,-191.6375
782,-191.6375
"1,759",358.2795
125,-5.44568
938,-34.13863
"1,958",-56.55988
972,-56.55988
"1,836",-56.55988
560,-13.86138
668,25.79125
354,13.16375
653,-54.18738
