Ticker,Sample.year,Short.seller,rowposition.x,Company,Exchange.x,U.S..listed.x,gvkey.x,URL,Announce.date,End.date,Allegations,Summary,Companyfate,Oneweekret_inpercent,CampaignRet_inpercent,CampaignRetVsSP500_inpercent,CampaignRet_without_SP500_inpercent,CompanyTactics, Marketcap ,Duplicate.copy.of.Shortseller..added.just.to.make.reading.easy.,Main.activist.document.s..of.interest,X.Part.2.for.Column.N.,Chinese.company,Notes,Synopsis.Excerpt,summary.from.original.source,Focus,Keywords.Combined.TOTAL,"Fraud (accounting, business, or other)",Potential Accounting Manipulation,Potential Managerial Manipulation,Weak board of director oversight,Weak operations,Weak Product ,Weak Marketing,financing incompetence,management incompetence,Weak Market environment,Overhyped market environment,Competitor pressure,legal headwinds,n/a,regulatory headwinds,ï..Company,Exchange.y,Corrected_year,U.S..listed.y,gvkey.y,Result.Name,CIQ.ID,Primary.Industry,Ticker.1,Cash.and.Equivalents,Total.Revenues,Net.Income,Short.Term.Investments,Cost.Of.Revenues,Depreciation...Amort...Total,Total.Cash...ST.Investments,Cost.Of.Goods.Sold,Asset.Writedown...Restructuring.Costs,Accounts.Receivable,Gross.Profit,Stock.Based.Compensation,Total.Receivables,Selling.General...Admin.Exp.,Net.Cash.From.Discontinued.Ops.,Inventory,R...D.Exp.,Change.In.Accounts.Receivable,Total.Current.Assets,Depreciation...Amort.,Change.In.Inventories,Gross.Property..Plant...Equipment,Amort..of.Goodwill.and.Intangibles,Change.in.Acc..Payable,Net.Property..Plant...Equipment,Operating.Income,Change.in.Unearned.Rev.,Long.term.Investments,Net.Interest.Exp.,Change.in.Inc..Taxes,Total.Intangibles,EBT.Excl.Unusual.Items,Change.in.Def..Taxes,Total.Assets,Total.Unusual.Items,Cash.from.Ops.,Accounts.Payable,EBT.Incl.Unusual.Items,Capital.Expenditure,Short.term.Borrowings,Income.Tax.Expense,Sale.of.Property..Plant..and.Equipment,Current.Portion.of.Long.Term.Debt,Earnings.from.Cont..Ops.,Cash.Acquisitions,Curr..Port..of.Cap..Leases,Earnings.of.Discontinued.Ops.,Divestitures,Total.Current.Liabilities,Extraord..Item...Account..Change,Sale..Purchase..of.Intangible.assets,Long.Term.Debt,Net.Income.1,Net.Cash.from.Investments,Capital.Leases,Pref..Dividends.and.Other.Adj.,Cash.from.Investing,Minority.Interest,Merger.Restructuring.Costs,Short.Term.Debt.Issued,Total.Liabilities,NI.to.Common.Incl.Extra.Items,Long.Term.Debt.Issued,Total.Pref..Equity,NI.to.Common.Excl.Extra.Items,Total.Debt.Issued,Common.Stock,Basic.EPS,Short.Term.Debt.Repaid,Retained.Earnings,Basic.EPS.Excl..Extra.Items,Long.Term.Debt.Repaid,Treasury.Stock,Weighted.Avg..Basic.Shares.Out.,Total.Debt.Repaid,Total.Common.Equity,Diluted.EPS,Issuance.of.Common.Stock,Total.Equity,Diluted.EPS.Excl.Extra.Itmes,Repurchase.of.Common,Total.Liabilities.And.Equity,Weighted.Avg..Diluted.Shares.Out.,Issuance.of.Preferred.Stock,Normalized.Basic.EPS,Repurchase.of.Preferred,Normalized.Diluted.EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total.Dividends.Paid,Shares.Outstanding.on.Balance.Sheet.Date,EBITDA..Incl..Equity.Inc..from.Affiliates.,Cash.from.Fi0ncing,Total.Shares.Out..On.Filing.Date,Net.Change.in.Cash,Total.Shares.Outstanding.on.BS.Date,EBIT,Book.Value.Share,EBITDAR,Tangible.Book.Value,Net.Rental.Expense,Cash.Interest.Paid,Tangible.Book.Value.Share,Normalized.Net.Income,Cash.Taxes.Paid,Total.Debt,Same.Store.Sales.Growth..,Net.Debt.Issued,Total.Current.Debt,Effective.Tax.Rate,Levered.Free.Cash.Flow,Total.Non.Current.Debt,Payout.Ratio,Unlevered.Free.Cash.Flow,Net.Debt,Interest.On.Long.Term.Debt,Change.in.Net.Working.Capital,Total.Capitalization,Total.Current.Taxes,EBITDA...Capex,Full.Time.Employees,Total.Deferred.Taxes,rowposition.y
 1228-HK,2014,Muddy Waters,812,Superb Summit International Group Limited,Hong Kong,0,GV_252361,http://www.activistshorts.com/companies/394/campaigns/529,11/20/2014,,Major business fraud,"Muddy Waters said Superb Summit International had almost no real revenue, had claimed ownership of and revenue from a coal liquefaction company it did not own and also had deployed a series of new business lines that were all ""abject failures.""",Halted,-5.8,-6,-6.3,-0.3,Private placement; Halt stock,"1,591",Muddy Waters,http://d.muddywatersresearch.com/wp-content/uploads/2014/11/MW_SuperbSummit_11202014.pdf,,0,,,,,Rejected -- not U.S.-listed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Superb Summit International Group Limited,Hong Kong,fy2014,0,GV_252361,Superb Summit International Group Limited,IQ6494706,Trading Companies and Distributors,-,129.666,421.127,-793.062,0.868,396.504,106.481,130.534,396.504,227.942,3.556,24.623,488.1,795.136,679.002,0,0,0,-7.674,994.134,0,0,3335.045,0,-76.963,3322.227,-654.379,0,0,-8.893,0,1239,-773.636,0,5610.83,-215.643,-536.612,42.787,-989.279,-11.755,352,-74.702,0,0,-914.577,-48.41,0,0,0,706.468,0,0,73,-793.062,18.346,0,0,-41.75,424.765,0,0,1089.218,-793.062,273,0,-793.062,273,803.211,-0.10634,-198,-181.195,-0.10634,-8,0,7458.14447,-206,4096.847,-0.10634,615.586,4521.612,-0.10634,0,5610.83,7458.14447,0,-0.04854,0,-0.04854,42123,42004,-547.898,0,8032.10941,-547.898,681.678,8032.10941,97.266,(Invalid Formula 0me),-654.379,0.51006,-540.805,2857.847,7.093,14.003,0.3558,-362.0075,0,425,0,67,352,NM,-289.50113,73,0,-283.89988,294.466,3.521,459.365,4946.612,0,-559.653,60,-74.702,387
 1259-HK,2013,Glaucus Research Group,682,Prince Frog International Holdings Limited,Hong Kong,0,GV_298357,http://www.activistshorts.com/companies/177/campaigns/242,10/16/2013,10/16/2014,Major business fraud,"Glaucus said its analysis indicated that actual sales were less than 25% of figures reported in the company's public filings. The company halted its stock for more than a month, and then denied the charges.",Alive,-25.7,-72,-84.4,-12.4,Buyback/dividend;Insider buy ; Conference call; Halt stock ,817,Glaucus Research Group,https://glaucusresearch.com/wp-content/uploads/downloads/2013/10/GlaucusResearch-Prince_Frog_Intl-HK_1259-Strong_Sell_Oct_16_2013.pdf,,1,,,,,Rejected - not U.S.-listed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Prince Frog International Holdings Limited,Hong Kong,fy2013,0,GV_298357,Prince Frog International Holdings Limited,IQ233902893,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Invalid Formula 0me),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
 1288-HK,2011,Kynikos Associates,34,Agricultural Bank of China Ltd.,Hong Kong,0,GV_269783,http://www.activistshorts.com/companies/43/campaigns/45,10/17/2011,12/22/2013,Industry issues,"At Value Investing Congress, Chanos said China was a bubble fueled by Chinese state banks like ABC. Chanos said the company had troubling exposure to rural China, and he said that ABC's reserve coverage could prove inadequate.",Alive,1.7,38,-17.8,-55.8,Hire new auditor,"131,796",Kynikos Associates,http://www.valuewalk.com/2011/10/jim-chanos-beware-global-valuetrap/ ; main link not available,,1,,,,,rejected - Chinese company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Agricultural Bank of China Ltd.,Hong Kong,fy2011,0,GV_269783,Agricultural Bank of China Limited,IQ5463985,Diversified Banks,SEHK:1288,248495,315539,121927,1002381,0,13130,1274989,0,373,0,315539,0,5473,92386,0,297,0,0,3439617,0,0,169582,0,0,131815,160923,0,2576004,0,0,25730,160923,0,11677577,-2722,-600148,10365946,158201,-23059,102413,36245,0,108800,121956,0,0,0,0,10785656,0,0,119545,121927,-82312,0,0,-24249,187,-2714,0,11027789,121927,50000,0,121927,50000,324794,0.3754,0,225449,0.3754,0,0,324794,0,649601,0.3754,0,649788,0.3754,0,11677577,324794,0,0.30957,0,0.30957,41334,40908,0,-17336,30738.8231,0,853953,324794.117,226490,(Invalid Formula 0me),0,2.00004,0,623871,2777,148349,1.92082,100547.875,30268,330758,0,50000,211213,22.9107,0,119545,14.2183,0,-944231,0,0,0,51723,0,447401,-15478,65
 1333-HK,2015,Dupre Analytics,215,China Zhongwang Holdings Limited,Hong Kong,0,GV_292041,http://www.activistshorts.com/companies/506/campaigns/684,7/31/2015,,Major business fraud,Dupre Analytics said in its debut report that China Zhongwang Holdings Limited's chairman used undisclosed entities to borrow HK$ billions to pay for aluminum shipped to facilities owned by his family. The company called the allegations untrue and halted its stock.,Alive,0,14,14.5,0.5,Halt stock,"2,362",Dupre Analytics,http://www.activistshorts.com/companies/506/campaigns/684,,1,,,,,Rejected - Chinese Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,China Zhongwang Holdings Limited,Hong Kong,fy2015,0,GV_292041,China Zhongwang Holdings Limited,IQ47610672,Aluminum,SEHK:1333,10200.103,16171.246,2804.981,25.919,10851.223,553.696,10226.022,10851.223,-46.688,1433.664,5320.023,2.714,3915.979,1591.712,0,3326.401,0,-793.564,24710.004,0,-126.544,35113.475,0,1650.876,31172.208,3728.311,0,2707.564,-380.111,0,0,3460.061,0,71400.726,63.061,6771.515,4881.659,3523.122,-10021.155,7331.524,718.141,0,7616.177,2804.981,-204.842,0,0,-2999.519,22921.631,0,0,21861.146,2804.981,-506.26,0,0,-15318.114,0,0,0,45409.728,2804.981,26360.847,0,2804.981,26360.847,605.397,0.39682,0,17619.997,0.39682,-14445.102,0,7068.598,-14445.102,25990.998,0.39682,0,25990.998,0.39682,0,71400.726,7068.598,0,0.30594,0,0.30594,42849,42369,4282.007,-1083.1,5449.47314,4284.077,9283.36,7068.59832,736.761,(Invalid Formula 0me),3728.311,3.67697,4480.269,25990.998,198.262,1549.285,3.67697,2162.53813,397.336,36808.847,0,11915.745,14947.701,20.3836,-11286.07138,21861.146,38.6134,-10901.13763,26582.825,0,3894.822,62799.845,502.802,-5739.148,12861,215.339,551
 1337-TW,2014,Glaucus Research Group,86,Asia Plastic Recycling Holding Limited,Taiwan,0,GV_298442,http://www.activistshorts.com/companies/237/campaigns/333,4/24/2014,5/5/2015,Major business fraud,"Glaucus said APR's earnings were 90% less than reported and that APR exaggerated its capital expenditures. Taiwan Stock Exchange investigated and cleared APR, and Taiwan regulators then sued Glaucus for dissemination of false information",Alive,-26.4,-60,-73.6,-13.6,Buyback/dividend; Lawsuit ,571,Glaucus Research Group,https://glaucusresearch.com/wp-content/uploads/downloads/2014/04/GlaucusResearch-Asia_Plastic_Recycling-TWSE_1337-Strong_Sell_April_24_2014-ENGLISH-FULL-REPORT.pdf,,1,,,,,Rejected - Chinese Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Asia Plastic Recycling Holding Limited,Taiwan,fy2014,0,GV_298442,Asia Plastic Recycling Holding Limited,IQ135078995,Commodity Chemicals,TSEC:1337,2366.326,5381.767,1133.135,469.196,3519.917,253.054,2835.522,3519.917,0,1012.054,1861.85,0,1021.888,391.947,0,362.857,53.003,1207.909,4329.428,0,-51.271,6442.722,0,-573.318,5732.662,1416.9,0,0,-4.587,0,1.256,1532.655,0,11651.252,-2.19,1716.889,361.375,1530.465,-1248.05,74.799,397.33,0,751.557,1133.135,0,0,0,0,1471.679,0,-0.817,0,1133.135,-450.574,0,0,-1726.514,0,0,449.951,1544.098,1133.135,0,0,1133.135,449.951,2498.291,4.24396,-1112.879,3823.995,4.24396,-311.967,0,266.9996,-1424.846,10107.154,3.83063,0,10107.154,3.83063,-24.447,11651.252,276.50483,0,3.58768,0,3.46435,42438,42004,1669.954,-199.833,267.03603,1669.954,-1199.175,267.03603,-1089.559,(Invalid Formula 0me),1416.9,37.8494,1690.371,10105.898,20.417,24.251,37.8447,957.90938,495.258,826.356,0,-974.895,826.356,25.9613,-176.52575,0,17.6354,-154.2695,-2009.166,12.82,64.436,10933.51,397.33,421.904,0,0,388
 1619-HK,2014,Anonymous Analytics,852,Tianhe Chemicals Group Ltd,Hong Kong,0,GV_317792,http://www.activistshorts.com/companies/340/campaigns/461,9/2/2014,,Major business fraud,"Anonymous Analytics said that Tianhe Chemicals Group was ""a massive fraud"" that had deluded auditors in preparation for its IPO and had a true revenue 85% less than reported.",Halted,-4.9,-52,-55.2,-3.2,Buyback/dividend; Insider buy; Halt stock ,"7,610",Anonymous Analytics,http://www.anonanalytics.com/2014/09/tianhe-chemicals.html,,1,,,,,Rejected - Chinese Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tianhe Chemicals Group Ltd,Hong Kong,fy2014,0,GV_317792,Tianhe Chemicals Group Limited,IQ118947733,Specialty Chemicals,-,0,6715.9,0,0,2398.1,0,0,2398.1,0,0,4317.8,0,0,150,0,0,0,0,0,0,0,0,0,0,0,4086.4,0,0,-91.8,0,0,4048.6,0,0,0,0,0,4048.6,0,0,639.8,0,0,3408.8,0,0,0,0,0,0,0,0,3408.8,0,0,0,0,0,0,0,0,3408.8,0,0,3408.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42153,42004,4256.845,0,0,4256.845,0,0,0,(Invalid Formula 0me),4086.4,0,0,0,0,0,0,2530.375,0,0,0,0,0,15.8029,0,0,0,0,0,0,0,0,0,4256.845,0,0,389
 1880-HK,2015,Indus Capital Partners,110,Belle International Holdings Limited,Hong Kong,0,GV_284700,http://www.activistshorts.com/companies/414/campaigns/558,1/30/2015,1/30/2016,Competitive pressures,Indus Capital said 20 percent margins on footwear was too high and said Belle was facing significant competition from other e-commerce companies.,Alive,-2.1,-32,-36.6,-4.6,n/a,"9,618",Indus Capital Partners,http://www.cnbc.com/2015/01/30/secret-hedge-fund-shorts-revealed.html,,1,,,,,Rejected - Chinese Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Belle International Holdings Limited,Hong Kong,fy2015,0,GV_284700,Belle International Holdings Limited,IQ34072018,Footwear,-,2707.7,40008.1,4763.9,5678.3,16998,1075.8,8386,16998,9.5,4798.2,23010.1,153.3,4989.9,17216.5,0,6349.4,0,-1421.8,20733.9,0,379.3,7181.4,0,208.3,4141.5,6193.7,0,1163.1,429,0,5370,6601.4,0,32536.5,0,5444,1012.5,6601.4,-1498,2658.2,1850.6,60.7,0,4750.8,28.2,0,0,0,7162.5,0,0,0,4763.9,406.3,0,0,-601.2,198.9,0,4740.1,7414.4,4763.9,0,0,4763.9,4740.1,83.1,0.57636,-4488.8,17374.7,0.57636,0,0,8265.531,-4488.8,24923.2,0.5638,0,25122.1,0.5638,-1716.1,32536.5,8449.216,0,0.50075,0,0.48986,42541,42063,7269.5,-2277.2,8434.233,7291.3,-5820.9,8434.233,-974.3,(Invalid Formula 0me),6193.7,2.955,15670.6,19553.2,8401.1,36.2,2.31831,4138.975,1448.2,2658.2,0,251.3,2658.2,28.0334,3241.6375,0,47.8011,3264.2625,-5727.8,0,347.1,27780.3,1865,5771.5,115657,-11.8,552
 2010-HK,2015,Glaucus Research Group,711,Real Nutriceutical Group Limited,Hong Kong,0,GV_294028,http://www.activistshorts.com/companies/557/campaigns/760,10/22/2015,,Major business fraud,Glaucus said that Real Nutriceutical's revenues were 84% less than reported and that its net income was 99% less than reported. The company halted its stock in response.,Halted,-8.3,-8,-9.9,-1.9,Halt stock,276,Glaucus Research Group,https://glaucusresearch.com/wp-content/uploads/downloads/2015/10/GlaucusResearch-Real_Nutri-HK_2010-Strong_Sell_Oct_21_2015.pdf,,0,,"On 10-22-2015, Glaucus Research Group published a 46-page report on Real Nutriceutical Group Limited that said the company's government filings indicated that its revenues were 84% less than reported and that its net income was 99% less than reported. Glaucus questioned the company's exaggerated retail footprint, and Glaucus said that the company's retail store count was likely fabricated and that Real Nutri's products were either limited or absent at many retailers. Glaucus also said that two of Real Nutri's largest five customers were related parties controlled by the company's chairman, and Glaucus questioned the company's advertising expenses, exaggerated capital expenditures, mysterious balance sheet term, sham acquisition of Magic Galaxy, inexplicable short term borrowings and supposed revenue per employee."," In our opinion, this is conclusive evidence that Real
Nutri has massively fabricated its reported revenues and profits.  Real Nutri’s CFO, Mr. Poon Yick Pang, served as the director of
finance for China Medical Technologies (“CMED”), a US-listed company which Glaucus
exposed as a massive fraud in 2011. After CMED collapsed following our report, Real Nutri
tried to conceal Mr. Poon’s connection to the disgraced firm. Despite reporting substantial profits (EBTIDA margins of 40-45%
2010-2014), Real Nutri is a serial capital raiser because such “profits” are spent on dubious capital expenditures and
acquisitions of questionable value",Accounting Fraud,Accounting misrepresentation;Growth overstated;Related party transactions;Possible fraud;Accounting fraud;Unsavory management;Too many acquisitions,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,Real Nutriceutical Group Limited,Hong Kong,fy2015,0,GV_294028,Real Nutriceutical Group Limited,IQ89491063,Personal Products,SEHK:2010,2477.308,2051.263,401.085,0,710.513,212.665,2477.308,710.513,0,690.05,1340.75,0,748.128,700.182,0,75.973,0,31.463,3440.918,0,-2.271,2775.929,0,48.18,2209.21,640.568,0,0,4.798,0,802.457,613.138,0,6666.163,0,671.579,85.09,613.138,-453.238,492,205.566,0,0,407.572,0,0,0,0,816.75,0,14.368,0,401.085,0,0,0,-380.105,185.465,0,636.133,904.917,401.085,0,0,401.085,636.133,13.841,0.28213,-1028.133,2906.146,0.28213,0,0,1421.646,-1028.133,5575.781,0.27797,756.707,5761.246,0.27797,0,6666.163,1456.532,0,0.26499,0,0.25864,42851,42369,853.233,-71.244,1600.029,853.233,273.953,1600.029,573.275,(Invalid Formula 0me),640.568,3.4848,927.498,4773.324,74.265,52.693,2.98327,376.72425,230.356,492,0,-392,492,33.5268,204.06563,0,17.7628,237.795,-1985.308,0,-57.715,6253.246,214.405,399.995,977,-8.839,553
 2014-HK,2015,Glaucus Research Group,653,Ozner Water International Holding Limited,Hong Kong,0,GV_317788,http://www.activistshorts.com/companies/422/campaigns/568,2/16/2015,,Major business fraud,"Glaucus Research Group said Ozner Water SAIC filings had shown a significant exaggeration of sales, production, and profit with real EBITDA 50-90% lower than reported. Ozner halted for a month and rejected the contents of the report in an extensive response.",Alive,-20.1,-37,-37.7,-0.7,Buyback/dividend; Private placement; Insider buy ; Halt stock,743,Glaucus Research Group,https://glaucusresearch.com/tos-check/?pdf_id=wp-content/uploads/downloads/2015/02/GlaucusResearch-Ozner_Water-HK_2014-Strong_Sell_Feb_16_2015,,0,,"On 2-16-2015, Glaucus Research Group said Ozner Water International Holding Limited's SAIC filings had shown a significant exaggeration of sales, production, and profit with real EBITDA 50-90% lower than reported. Glaucus Research said Ozner was a ""real working business"" but with margins and a market share much smaller than as portrayed by the company. In the 47-page report, Glaucus Research also cited undisclosed related party transactions, Chinese government tax records corroborating income at a fraction of reported figures, and other ""accounting shenanigans."" Glaucus Research predicted the company had 76-92% downside. On 3-26-2015, Glaucus Research posted a rebuttal to Ozner's response, saying that Ozner had admitted to making a statement that was ""not entirely accurate,"" but which it said was immaterial. Glaucus said this called the company's word into question. Glaucus also said the response contained ""evasions and excuses which are directly contradicted by Ozner’s prior statements in its prospectus or in its statutory filings in the PRC."" The company's stock resumed trading and closed up 14%. On 4-2-2015, Glaucus Research responded to Ozner's second response, calling it a ""joke."" Glaucus particularly highlighted several times when the company acknowledged in its responses to Glaucus that it had misstated something. Glaucus continued to stress that the SAIC filings showed a significantly worse financial position for the company.","SAIC Filings Indicate Material Exaggeration of Sales, Production and Profit. The same PowerPoint presentation shows that CGL sold the same
(or very similar) models of Ozner-branded water purifiers (from 2010-2012), using what appears to be the same
technology that Ozner employs today. Material Undisclosed Related Party Transactions.",Accounting Fraud,Stock promotion;share selling pressure;FDA approval unlikely;Unsavory management;Ineffective management/staff;Operational inefficiency,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,Ozner Water International Holding Limited,Hong Kong,fy2015,0,GV_317788,Ozner Water International Holding Limited,IQ265464822,Household Appliances,SEHK:2014,380.922,745.399,28.061,4.741,306.454,39.354,385.663,306.454,0,71.396,438.945,55.049,197.995,309.474,0,191.537,0,-30.235,973.646,0,-106.107,917.276,0,26.507,804.341,129.471,49.421,0,3.169,0,89.908,52.446,0,3309.395,0,187.853,155.659,52.446,-677.671,0,24.385,0,0,28.061,0,1.38,0,0,1045.23,0,-3.984,305.914,28.061,300,0,0,-466.717,0,0,0,1357.626,28.061,379.601,0,28.061,379.601,13.802,0.0161,0,838.675,0.0161,-5.09,-4.968,1743.09429,-5.09,1951.769,0.0161,0,1951.769,0.0161,-35.434,3309.395,1743.09429,0,0.0188,0,0.0188,42851,42369,168.825,0,1739.37287,168.825,339.077,1739.37287,87.214,(Invalid Formula 0me),129.471,1.12211,180.861,1861.861,12.036,0,1.07042,32.77875,9.096,307.294,0,374.511,1.38,46.4954,-256.8295,305.914,0,-253.78263,-78.369,4.875,-113.414,2259.063,37.476,-508.846,2374,-13.091,554
 2233-HK,2012,Glaucus Research Group,942,West China Cement Limited,Hong Kong,0,GV_282177,http://www.activistshorts.com/companies/28/campaigns/25,8/8/2012,8/8/2013,Major business fraud,"Glaucus said WCC was a fraud, pointing to suspiciously high margins, among other things. The company responded that its margins were possible because its selling prices were higher than average, thanks to favorable supply demand dynamics in Shaanxi Province.",Alive,-9.8,-13,-37.2,-24.2,Halt stock,774,Glaucus Research Group,https://glaucusresearch.com/tos-check/?pdf_id=wp-content/uploads/downloads/2012/08/GlaucusResearch-West_China_Cement-HK2233-Strong_Sell_August_8_2012,,1,,,,,Rejected - Chinese Company,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,West China Cement Limited,Hong Kong,fy2012,0,GV_282177,West China Cement Limited,IQ30396365,Construction Materials,SEHK:2233,368.936,3524.117,364.881,0,2848.92,453.486,368.936,2848.92,0,197.963,675.197,4.36,483.936,230.874,0,468.602,0,122.38,1671.392,0,-13.657,9244.744,0,287.097,7968.915,444.323,0,0,-137.389,0,171.826,463.577,0,10298.888,-4.993,1378.122,661.956,458.584,-563.136,0,86.058,5.92,1256.736,372.526,-700.698,0,0,0,2764.982,0,-7.096,2612.506,364.881,0,0,0,-1400.998,90.871,-3.997,0,5452.086,364.881,1458.872,0,364.881,1458.872,124.715,0.08263,0,2787.845,0.08263,-1200.36,0,4415.611,-1200.36,4755.931,0.08263,0,4846.802,0.08263,0,10298.888,4415.611,0,0.06388,0,0.06388,41754,41274,897.809,-60.425,4547.2,897.809,-135.894,4547.2,-160.676,(Invalid Formula 0me),444.323,1.0459,907.964,4584.105,10.155,283.981,1.00812,282.09063,73.37,3869.242,0,258.512,1256.736,18.766,409.57175,2612.506,16.5601,496.64488,3500.306,201.863,-321.005,8716.044,74.245,334.673,4724,11.813,168
