Companyfate,financing.incompetence,management.incompetence,Weak.Market.environment,Weak.board.of.director.oversight
,1,1,0,0
Acquired,10,17,0,2
Alive,202,256,10,35
Dead,7,12,0,1
Halted,1,2,0,0
n/a,0,0,0,0
,,,,
Companyfate,Weak.operations,Weak.Product.,Weak.Marketing,Overhyped.market.environment
,0,0,0,1
Acquired,6,23,0,10
Alive,83,346,4,219
Dead,2,7,0,6
Halted,0,2,0,2
n/a,0,0,0,1
,,,,
Companyfate,Competitor.pressure,legal.headwinds,n.a,regulatory.headwinds
,0,0,1,0
Acquired,15,7,20,8
Alive,266,90,96,121
Dead,7,2,57,2
Halted,0,0,6,0
n/a,0,0,0,0
,,,,
Companyfate,Fraud..accounting..business..or.other.,Potential.Accounting.Manipulation,Potential.Managerial.Manipulation,
,1,1,0,
Acquired,13,5,20,
Alive,151,176,352,
Dead,14,7,19,
Halted,3,3,2,
n/a,0,0,0,
