"","Primary.Industry","financing.incompetence","management.incompetence","Weak.Market.environment","Weak.board.of.director.oversight","Weak.operations","Weak.Product.","Weak.Marketing","Overhyped.market.environment","Competitor.pressure","legal.headwinds","n.a","regulatory.headwinds","Fraud..accounting..business..or.other.","Potential.Accounting.Manipulation","Potential.Managerial.Manipulation"
"1","(Invalid Identifier)",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2","0",0,0,0,0,0,1,0,1,0,0,2,0,0,0,1
"3","Advertising",1,0,0,1,0,1,0,0,1,0,7,0,0,1,1
"4","Aerospace and Defense",3,4,0,0,0,3,0,2,2,1,0,1,0,3,2
"5","Agricultural Products",1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
"6","Air Freight and Logistics",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"7","Alternative Carriers",1,2,0,0,0,7,0,3,5,1,0,1,2,0,5
"8","Aluminum",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
"9","Apparel Retail",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"10","Apparel, Accessories and Luxury Goods",0,1,0,0,0,2,0,1,2,0,0,0,1,1,2
"11","Application Software",7,18,0,3,6,21,0,17,16,11,10,5,12,16,23
"12","Asset Management and Custody Banks",3,2,0,1,0,2,0,2,2,1,1,2,3,2,6
"13","Auto Parts and Equipment",0,2,1,0,0,1,0,0,1,1,4,1,2,2,1
"14","Automobile Manufacturers",3,4,0,2,1,3,0,4,4,0,0,0,0,2,1
"15","Automotive Retail",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"16","Biotechnology",24,22,0,1,33,78,1,23,30,8,1,18,21,18,64
"17","Building Products",0,1,0,0,0,1,0,1,2,1,0,0,0,1,1
"18","Cable and Satellite",0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"19","Casinos and Gaming",3,2,0,0,0,0,0,1,1,0,5,0,1,1,2
"20","Coal and Consumable Fuels",2,4,0,0,2,3,0,0,3,2,5,1,6,2,2
"21","Commercial Printing",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22","Commodity Chemicals",0,0,0,0,0,0,0,1,0,0,7,0,2,1,2
"23","Communications Equipment",3,4,0,0,0,4,0,1,3,2,1,1,3,4,2
"24","Computer and Electronics Retail",0,2,1,0,0,0,0,0,2,0,0,1,0,0,1
"25","Construction and Engineering",3,1,0,1,0,1,0,4,2,0,2,0,2,1,2
"26","Construction Machinery and Heavy Trucks",2,3,0,0,0,4,0,2,1,0,0,1,1,1,2
"27","Construction Materials",0,1,0,0,0,0,0,2,0,0,1,0,0,0,1
"28","Consumer Electronics",2,4,0,0,1,3,0,2,5,1,1,1,2,2,4
"29","Consumer Finance",1,2,0,0,0,2,0,1,1,0,0,3,2,3,3
"30","Data Processing and Outsourced Services",1,2,0,1,0,1,0,1,1,3,0,3,3,3,4
"31","Department Stores",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32","Distillers and Vintners",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"33","Distributors",2,2,0,0,1,0,0,1,0,0,0,1,0,1,2
"34","Diversified Banks",4,1,0,0,0,1,0,4,0,0,2,1,1,2,0
"35","Diversified Chemicals",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"36","Diversified Metals and Mining",2,2,0,1,1,4,0,3,3,3,2,2,1,3,7
"37","Diversified Real Estate Activities",2,0,0,0,0,1,0,0,0,0,0,1,1,1,0
