Primary.Industry,count,Oneweekret,CampaignRet,Total.Revenues,Net.Income
Biotechnology,101,-5.923762376,-15.69207921,7216.437949,1858.0821
Application Software,59,-8.838983051,-18.16779661,397.1486375,13.54611949
Pharmaceuticals,47,-9.034042553,-6.521276596,2928.931613,106.1581834
Semiconductors,28,-2.353571429,7.828571429,2700.255253,473.4557729
Electrical Components and Equipment,27,-4.055555556,-32.26296296,43904.63605,3313.199826
Packaged Foods and Meats,27,-8.67037037,-17.53333333,3160.562483,225.2873893
Health Care Equipment,23,-6.934782609,-26.69130435,1371.785764,122.7006087
Oil and Gas Exploration and Production,23,-12.80434783,-18.99130435,648.10896,-236.9948113
Personal Products,19,-10.88947368,7.052631579,1552.541052,161.6414068
Interactive Media and Services,17,-4.770588235,15.05294118,1618.927352,647.9699924
"Technology Hardware, Storage and Peripherals",17,-4.582352941,-31.61176471,10534.47317,-387.4991924
Coal and Consumable Fuels,16,-10.4625,-74.325,322.2933156,52.81698438
Movies and Entertainment,16,-9.79375,-19.69375,1126.803115,-11.30256625
Health Care Services,15,-7.16,-4.7,14106.10747,491.408778
Internet and Direct Marketing Retail,15,-8.46,24.93333333,34138.7146,3205.662667
Electronic Equipment and Instruments,13,-9.423076923,-20.36153846,314.2098346,45.63980769
Systems Software,13,-3.9,48.12307692,5866.302,1304.742846
Thrifts and Mortgage Finance,13,-3.038461538,-8.092307692,-2614.687692,-3810.844846
Communications Equipment,12,-8.541666667,-32.36666667,684.7060767,60.37643
Property and Casualty Insurance,12,-3.983333333,-14.25,2531.233333,90.22941667
Restaurants,12,-4.6,-1.516666667,1367.541883,180.8332892
Advertising,11,-14.26363636,-28.93636364,646.0143591,81.35716
Diversified Metals and Mining,11,-12.30909091,-36.83636364,14246.14276,-362.3101855
Education Services,11,-5.645454545,-6.009090909,654.0083627,67.53176455
Internet Services and Infrastructure,11,-6.3,-32.75454545,850.5370709,-57.76638818
Asset Management and Custody Banks,10,-1.55,-19.17,2433.195768,176.4776
Construction and Engineering,10,-7.06,9.74,5884.7347,-180.5505
Electronic Manufacturing Services,10,-5.29,-38.72,100.4899,-19.3046
Regional Banks,10,-15.23,-17.86,36702.0473,12383.547
Specialty Chemicals,10,-11.84,-39.23,1397.3667,310.6835
Specialty Stores,10,-1.19,8.63,2401.2635,126.1088
Steel,10,-13.35,-51.3,4013.593411,484.745639
,,,,,
Primary.Industry,count,Gross.Profit,R...D.Exp.,Operating.Income,Mean.of.Basic.EPS
Biotechnology,101,4381.440647,768.7300252,2626.754314,10.73753545
Application Software,59,251.0789968,58.93755847,26.92822695,0.120061017
Pharmaceuticals,47,2159.882685,383.7099894,727.4956815,-329.7323468
Semiconductors,28,1528.019749,525.5737714,585.9375789,0.898810714
Electrical Components and Equipment,27,10014.00269,1932.719408,4379.253268,10.7306563
Packaged Foods and Meats,27,731.322827,1.41662963,383.1221204,0.485594815
Health Care Equipment,23,842.0789313,230.7337391,50.93252174,-0.045418261
Oil and Gas Exploration and Production,23,349.513257,0,-1.204054783,-4.498707391
Personal Products,19,856.0956411,1.201433158,254.3803268,30.08400789
Interactive Media and Services,17,1214.571646,166.9302141,688.7169076,-22.57112706
"Technology Hardware, Storage and Peripherals",17,2775.444925,464.2030488,901.2323782,0.961814706
Coal and Consumable Fuels,16,65.194735,3.83125,12.4782125,12.8940925
Movies and Entertainment,16,375.0550475,73.7542325,30.0819675,0.07372875
